<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20110513;00:00;9810.0000000;9883.0000000;9695.0000000;9746.0000000;676861
20110516;00:00;9746.0000000;9895.0000000;9690.0000000;9790.0000000;813243
20110517;00:00;9799.0000000;9915.0000000;9606.0000000;9718.0000000;831655
20110518;00:00;9725.0000000;9847.0000000;9674.0000000;9830.0000000;567379
20110519;00:00;9830.0000000;9836.0000000;9655.0000000;9730.0000000;610874
20110520;00:00;9725.0000000;9750.0000000;9405.0000000;9431.0000000;707798
20110523;00:00;9426.0000000;9426.0000000;9151.0000000;9229.0000000;655926
20110524;00:00;9228.0000000;9429.0000000;9210.0000000;9373.0000000;634427
20110525;00:00;9365.0000000;9613.0000000;9242.0000000;9593.0000000;703368
20110526;00:00;9596.0000000;9650.0000000;9462.0000000;9639.0000000;700335
20110527;00:00;9646.0000000;9793.0000000;9608.0000000;9776.0000000;584813
20110530;00:00;9774.0000000;9795.0000000;9695.0000000;9759.0000000;302131
20110531;00:00;9768.0000000;9915.0000000;9768.0000000;9832.0000000;524655
20110601;00:00;9838.0000000;9875.0000000;9556.0000000;9562.0000000;621056
20110602;00:00;9558.0000000;9740.0000000;9531.0000000;9718.0000000;518349
20110603;00:00;9717.0000000;9756.0000000;9427.0000000;9518.0000000;730570
20110606;00:00;9509.0000000;9701.0000000;9346.0000000;9542.0000000;744486
20110607;00:00;9552.0000000;9718.0000000;9552.0000000;9654.0000000;541504
20110608;00:00;9650.0000000;9666.0000000;9457.0000000;9604.0000000;652109
20110609;00:00;9604.0000000;9976.0000000;9562.0000000;9942.0000000;876145
20110610;00:00;10051.0000000;10073.0000000;9846.0000000;9874.0000000;143327
